InjectionRate,F1,F2,F3
0.05,0.0200029,0.0450039,0.200006
0.1,0.0400058,0.0900073,0.40001
0.15,0.0600087,0.13501,0.600012
0.2,0.0800117,0.180013,0.800012
0.25,0.100015,0.225015,1.00001
0.3,0.120018,0.270016,1.20001
0.35,0.140021,0.315017,1.4
0.4,0.160024,0.360018,1.59999
0.45,0.180027,0.405018,1.79998
0.5,0.20003,0.450017,1.99997
0.55,0.220034,0.495016,2.19995
0.6,0.240037,0.540015,2.39994
0.65,0.26004,0.585013,2.59992
0.7,0.280044,0.630011,2.7999
0.75,0.300047,0.675008,2.99987
0.8,0.320051,0.720005,3.19985
0.85,0.340054,0.765001,3.39982
0.9,0.360058,0.809996,3.59979
0.95,0.380061,0.854992,3.79976
1,0.400065,0.899986,3.99973
1.05,0.420068,0.944981,4.19969
1.1,0.440072,0.989974,4.39965
1.15,0.460076,1.03497,4.59961
1.2,0.48008,1.07996,4.79957
1.25,0.500083,1.12495,4.99953
1.3,0.520087,1.16994,5.19948
1.35,0.540091,1.21494,5.39944
1.4,0.560095,1.25993,5.59939
1.45,0.580099,1.30492,5.79933
1.5,0.600103,1.34991,5.99928
1.55,0.620107,1.3949,6.19922
1.6,0.640111,1.43989,6.39916
1.65,0.660115,1.48487,6.5991
1.7,0.680119,1.52986,6.79904
1.75,0.700124,1.57485,6.99898
1.8,0.720128,1.61984,7.19891
1.85,0.740132,1.66482,7.39884
1.9,0.760136,1.70981,7.59877
1.95,0.780141,1.75479,7.7987
2,0.800145,1.79978,7.99862
2.05,0.82015,1.84476,8.19855
2.1,0.840154,1.88975,8.39847
2.15,0.860159,1.93473,8.59839
2.2,0.880163,1.97972,8.7983
2.25,0.900168,2.0247,8.99822
2.3,0.920172,2.06968,9.19813
2.35,0.940177,2.11466,9.39804
2.4,0.960182,2.15964,9.59795
2.45,0.980186,2.20462,9.79786
2.5,1.00019,2.2496,9.99776
2.55,1.0202,2.29458,10.1977
2.6,1.0402,2.33956,10.3976
2.65,1.06021,2.38454,10.5975
2.7,1.08021,2.42952,10.7974
2.75,1.10022,2.4745,10.9973
2.8,1.12022,2.51948,11.1971
2.85,1.14023,2.56445,11.397
2.9,1.16023,2.60943,11.5969
2.95,1.18024,2.65441,11.7968
3,1.20024,2.69938,11.9967
3.05,1.22025,2.74436,12.1966
3.1,1.24025,2.78933,12.3965
3.15,1.26026,2.8343,12.5963
3.2,1.28026,2.87928,12.7962
3.25,1.30027,2.92425,12.9961
3.3,1.32027,2.96922,13.196
3.35,1.34028,3.0142,13.3958
3.4,1.36028,3.05917,13.5957
3.45,1.38029,3.10414,13.7956
3.5,1.4003,3.14911,13.9954
3.55,1.4203,3.19408,14.1953
3.6,1.44031,3.23905,14.3951
3.65,1.46031,3.28402,14.595
3.7,1.48032,3.32899,14.7949
3.75,1.50032,3.37396,14.9947
3.8,1.52033,3.41892,15.1946
3.85,1.54034,3.46389,15.3944
3.9,1.56034,3.50886,15.5943
3.95,1.58035,3.55382,15.7941
4,1.60035,3.59879,15.9939
4.05,1.62036,3.64375,16.1938
4.1,1.64037,3.68872,16.3936
4.15,1.66037,3.73368,16.5935
4.2,1.68038,3.77865,16.7933
4.25,1.70038,3.82361,16.9931
4.3,1.72039,3.86857,17.1929
4.35,1.7404,3.91354,17.3928
4.4,1.7604,3.9585,17.5926
4.45,1.78041,4.00346,17.7924
4.5,1.80041,4.04842,17.9922
4.55,1.82042,4.09338,18.1921
4.6,1.84043,4.13834,18.3919
4.65,1.86043,4.1833,18.5917
4.7,1.88044,4.22826,18.7915
4.75,1.90045,4.27322,18.9913
4.8,1.92045,4.31818,19.1911
4.85,1.94046,4.36314,19.3909
4.9,1.96047,4.40809,19.5907
4.95,1.98047,4.45305,19.7906
5,2.00048,4.49801,19.9904
