N1:F1,Q1
N2:F2,Q2
N3:F3,Q3
N4:Q1,RR1
N5:Q2,RR1
N6:Q3,RR1
N7:RR1,Sr1
N8:Sr1,Q4
N9:F4,Q5
N10:Q4,PR1
N11:Q5,PR1
N12:PR1,Sr2
N13:Sr2,Q6
N14:F5,Q7
N15:F6,Q8
N16:Q6,Sr3
N17:Q7,Sr4
N18:Q8,Sr5
N19:Sr3,M1
N20:Sr4,M1
N21:Sr5,M1
N22:M1,Q9
N23:F7,Q10
N24:F8,Q11
N25:Q9,RR2
N26:Q10,RR2
N27:Q11,RR2
N28:RR2,Sr6
N29:Sr6,Q12
N30:F9,Q13
N31:F10,Q14
N32:Q12,Sr7
N33:Q13,Sr8
N34:Q14,Sr9
N35:Sr7,M2
N36:Sr8,M2
N37:Sr9,M2
N38:M2,Q15
N39:F11,Q16
N40:Q15,PR2
N41:Q16,PR2
N42:PR2,Sr10
N43:Sr10,Q17
N44:Q17,Split1
N45:Split1,Q18
N46:Split1,Q19
N47:Q18,Sink
N48:Q19,Sink
